Course Name,Course Title,Section,Schedule,Section Modality,Campus,Location,Instructor
MATH 4C,Concurrent Support for College Algebra for STEM Majors,2635,Th 3 p.m.-3:50 p.m.,Hybrid,Online,ONLINE,BENE
MATH 6 AND,Modern Mathematical Methods for STEM Majors,3309,TTh 12:45 p.m.-2:50 p.m.,On Ground,Main Campus,MSB 210,LAI
MATH 6C,Concurrent Support for Modern Mathematical Methods For STEM Majors,3310,TTh 3 p.m.-3:50 p.m.,On Ground,Main Campus,MSB 210,LAI
MATH 6 AND,Modern Mathematical Methods for STEM Majors,3311,MTW 9:30 a.m.-10:40 a.m.,On Ground,Main Campus,MSB 202,LOPEZ
MATH 6C,Concurrent Support for Modern Mathematical Methods For STEM Majors,3312,MTW 10:50 a.m.-11:25 a.m.,On Ground,Main Campus,MSB 202,LOPEZ
MATH 6 AND,Modern Mathematical Methods for STEM Majors,3313,MTW 12:45 p.m.-1:55 p.m.,On Ground,Main Campus,MSB 310,RICHARDSON
MATH 6C,Concurrent Support for Modern Mathematical Methods For STEM Majors,3314,MTW 2:05 p.m.-2:40 p.m.,On Ground,Main Campus,MSB 310,RICHARDSON
MATH 6 AND,Modern Mathematical Methods for STEM Majors,3315,MTW 12:45 p.m.-1:55 p.m.,On Ground,Main Campus,MSB 202,RODAS
MATH 6C,Concurrent Support for Modern Mathematical Methods For STEM Majors,3316,MTW 2:05 p.m.-2:40 p.m.,On Ground,Main Campus,MSB 202,RODAS
MATH 6 AND,Modern Mathematical Methods for STEM Majors,3317,MW 10 a.m.-12:05 p.m.,On Ground,Main Campus,MSB 203,WANG
MATH 6C,Concurrent Support for Modern Mathematical Methods For STEM Majors,3318,MW 12:15 p.m.-1:05 p.m.,On Ground,Main Campus,MSB 203,WANG
MATH7,Calculus 1,2561,MTWTh 7 a.m.-8:05 a.m.,On Ground,Main Campus,MSB 209,FOSTER
MATH7,Calculus 1,2562,TThF 7:45 a.m.-9:15 a.m.,On Ground,Main Campus,MSB 306,Staff
MATH7,Calculus 1,2563,MW 8 a.m.-10:25 a.m.,On Ground,Main Campus,MSB 102,CHO
MATH7,Calculus 1,2564,TTh 8 a.m.-10:25 a.m.,On Ground,Center for Media and Design,CMD 107,GRAVES
