CLASS,TERM,INSTRUCTOR,A,B,C,D,F,P,NP,IX,EW,W,TOTAL,,,,,
MATH54,SPRING24,FOREMAN N J,4,6,7,3,2,,,,9,4,35,,,,,
MATH54,SPRING24,TU W,3,1,2,1,3,,1,,5,8,24,,,,,
MATH54,SPRING24,DEAN C R,2,2,2,1,5,,,,4,3,19,,,,,
MATH54,SPRING24,LOPEZ J E,10,6,6,3,,,1,,3,6,35,,,,,
MATH54,SPRING24,SIMO A L,7,6,8,1,3,,,,5,4,34,,,,,
MATH54,SPRING24,GIZAW A,8,6,3,3,4,,2,,2,6,34,,,,,
MATH54,SPRING24,PEREZ R E,25,7,3,1,4,,,,3,2,45,,,,,
MATH54,SPRING24,GIZAW A,6,12,3,1,2,1,1,,6,5,37,,,,,
MATH41,SPRING24,PEREZ,4,4,5,,,1,,,1,3,18,,,,,
MATH2,FALL24,FOSTER M, , , , ,4, , , ,3,4,11,,,,,
MATH2,FALL24,QUEVEDO J M,2,2,2,2,6,1,5, ,6,,26,,,,,
MATH2,FALL24,ROSS K R,1,10,2, ,8,1,6,1,6,9,44,,,,,
MATH2,FALL24,BOOSHERI S G, ,1,1, ,10,1,3, ,6,8,30,,,,,
MATH2,FALL24,CHO M,1,4,4, ,9, ,2, ,5,9,34,,,,,
MATH2,FALL24,RODAS B G,6,2,2, ,1,2, , ,5,4,22,,,,,
MATH2,FALL24,LEE P H, , ,1,3,5, , , ,6,9,24,,,,,
MATH2,FALL24,ASADYAN A, ,7,9,7,3,1, , ,3,2,32,,,,,
MATH2,FALL24,OUELLETTE K R,3,2, ,1,8, ,5, ,1,1,21,,,,,
MATH2,FALL24,MIANO I A,3,5,6,1,6,1,3, ,4,7,36,,,,,
MATH2,FALL24,LUI,8,2,4,1,13, ,3, ,3,1,35,,,,,
MATH2,FALL24,HONG A M, , , ,2, , ,2, ,3,13,20,,,,,
MATH2,FALL24,HARJUNO T,4,3, , ,3,2,2, ,7,16,37,,,,,
MATH2,FALL24,QUEVEDO J M,1, ,4,2,3,1,4, ,7,9,31,,,,,
MATH2,FALL24,MIANO I A,3,7,6,4,5, ,3, ,6,1,35,,,,,
MATH2,FALL24,SOLEYMANI S,6,2,1,3,3,1,7, ,5,4,32,,,,,
MATH2,FALL24,BOOSHERI S G,2, ,2,1,5, , , ,8,9,27,,,,,
MATH2,FALL24,EMERSON A J,2,1,1,2,2, , , ,4,15,27,,,,,
MATH2,FALL24,LOPEZ MA,4,4,4,4,4, ,6, ,8,5,39,,,,,
MATH2,FALL24,ENGLAND A M,9,3,7,3,4,2,4, ,4,4,40,,,,,
MATH2,FALL24,ENGLAND A M,6,5,2, ,1,2,2,1,10,14,43,,,,,
MATH2,FALL24,PHUA N,2,3,2,1,1, ,2, ,13,9,33,,,,,
MATH2,FALL24,PHUNG Q T,2,2,1,1,1, ,1, ,6,11,25,,,,,
MATH2,FALL24,SOURY S,1,4,1,1,9,1,1, ,8,6,32,,,,,
MATH2,FALL24,CHAN H J,2,4,2,1,3,3,8, ,4,6,33,,,,,
MATH2,FALL24,MUSSELMAN M J,6,3,2, ,3, ,4, ,11,6,35,,,,,
MATH2,FALL24,RAMSEY E D,10, ,3,1,3,3,5, ,4,8,37,,,,,
MATH2,FALL24,KARKAFI R H,2,2, , ,8,4,2, ,7,4,29,,,,,
MATH2,FALL24,LIAO G,10,4,5,1,5,2,2, ,6,4,39,,,,,
MATH2,FALL24,MUSSELMAN M J,3,3,1,3,4, ,1, ,10,8,33,,,,,
MATH2,FALL24,JIANG J,11,9,12, ,7,2, , ,2,2,45,,,,,
MATH2,FALL24,CHITGAR M H,5,3,10, ,4,1,2,1,5,2,33,,,,,
MATH3,FALL24,KONYA W,3,2, ,3,6, ,1, ,3,14,32,,,,,
MATH3,FALL24,HERICHI H,2,7,1,3,12,1,2, ,4,2,34,,,,,
MATH3,FALL24,HONG A M, , , ,1,2, ,1, ,4,10,18,,,,,
MATH3,FALL24,GHARAMANIANS J,3,6,2,1,3,1, ,1,7,6,30,,,,,
MATH3,FALL24,RICHARDSON A,3,2,1,1, ,1, , ,13,4,25,,,,,
MATH4,FALL24,EVINYAN Z,2,3,5, ,8,1, , ,13,1,33,,,,,
